16:53:53.269 [TestNG-tests-2] DEBUG testCases.TC001_AccountRegistrationTest -  Debug logs..
16:53:56.298 [TestNG-tests-1] ERROR testCases.TC001_AccountRegistrationTest -  Test Failed..
16:53:56.298 [TestNG-tests-1] DEBUG testCases.TC001_AccountRegistrationTest -  Debug logs..
16:54:32.906 [TestNG-tests-3] INFO  testCases.TC001_AccountRegistrationTest -  **** Starting TC001_AccountRegistrationTest****
16:54:33.107 [TestNG-tests-3] INFO  testCases.TC001_AccountRegistrationTest -  Clicked on MyAccount Link
16:54:36.320 [TestNG-tests-3] INFO  testCases.TC001_AccountRegistrationTest -  Clicked on Register Link
16:54:36.359 [TestNG-tests-3] INFO  testCases.TC001_AccountRegistrationTest -  Providing Customer Details...
16:54:39.992 [TestNG-tests-3] INFO  testCases.TC001_AccountRegistrationTest -  Validating Expected Message...
17:00:11.252 [main] INFO  testCases.TC001_AccountRegistrationTest -  **** Starting TC001_AccountRegistrationTest****
17:00:11.351 [main] INFO  testCases.TC001_AccountRegistrationTest -  Clicked on MyAccount Link
17:00:11.649 [main] INFO  testCases.TC001_AccountRegistrationTest -  Clicked on Register Link
17:00:11.653 [main] INFO  testCases.TC001_AccountRegistrationTest -  Providing Customer Details...
17:00:14.483 [main] INFO  testCases.TC001_AccountRegistrationTest -  Validating Expected Message...
17:02:34.625 [TestNG-tests-1] INFO  testCases.TC001_AccountRegistrationTest -  **** Starting TC001_AccountRegistrationTest****
17:02:34.716 [TestNG-tests-2] INFO  testCases.TC001_AccountRegistrationTest -  **** Starting TC001_AccountRegistrationTest****
17:02:34.808 [TestNG-tests-1] INFO  testCases.TC001_AccountRegistrationTest -  Clicked on MyAccount Link
17:02:34.857 [TestNG-tests-2] INFO  testCases.TC001_AccountRegistrationTest -  Clicked on MyAccount Link
17:02:35.209 [TestNG-tests-1] INFO  testCases.TC001_AccountRegistrationTest -  Clicked on Register Link
17:02:35.215 [TestNG-tests-1] INFO  testCases.TC001_AccountRegistrationTest -  Providing Customer Details...
17:02:35.301 [TestNG-tests-2] INFO  testCases.TC001_AccountRegistrationTest -  Clicked on Register Link
17:02:35.303 [TestNG-tests-2] INFO  testCases.TC001_AccountRegistrationTest -  Providing Customer Details...
17:02:37.520 [TestNG-tests-1] INFO  testCases.TC001_AccountRegistrationTest -  Validating Expected Message...
17:02:37.877 [TestNG-tests-2] INFO  testCases.TC001_AccountRegistrationTest -  Validating Expected Message...
17:02:39.388 [TestNG-tests-3] INFO  testCases.TC001_AccountRegistrationTest -  **** Starting TC001_AccountRegistrationTest****
17:02:39.553 [TestNG-tests-3] INFO  testCases.TC001_AccountRegistrationTest -  Clicked on MyAccount Link
17:02:39.946 [TestNG-tests-3] INFO  testCases.TC001_AccountRegistrationTest -  Clicked on Register Link
17:02:39.948 [TestNG-tests-3] INFO  testCases.TC001_AccountRegistrationTest -  Providing Customer Details...
17:02:41.099 [TestNG-tests-3] INFO  testCases.TC001_AccountRegistrationTest -  Validating Expected Message...
17:03:34.824 [TestNG-tests-1] INFO  testCases.TC001_AccountRegistrationTest -  **** Starting TC001_AccountRegistrationTest****
17:03:34.824 [TestNG-tests-2] INFO  testCases.TC001_AccountRegistrationTest -  **** Starting TC001_AccountRegistrationTest****
17:03:34.972 [TestNG-tests-2] INFO  testCases.TC001_AccountRegistrationTest -  Clicked on MyAccount Link
17:03:35.016 [TestNG-tests-1] INFO  testCases.TC001_AccountRegistrationTest -  Clicked on MyAccount Link
17:03:35.444 [TestNG-tests-2] INFO  testCases.TC001_AccountRegistrationTest -  Clicked on Register Link
17:03:35.450 [TestNG-tests-2] INFO  testCases.TC001_AccountRegistrationTest -  Providing Customer Details...
17:03:35.491 [TestNG-tests-1] INFO  testCases.TC001_AccountRegistrationTest -  Clicked on Register Link
17:03:35.492 [TestNG-tests-1] INFO  testCases.TC001_AccountRegistrationTest -  Providing Customer Details...
17:03:36.471 [TestNG-tests-2] INFO  testCases.TC001_AccountRegistrationTest -  Validating Expected Message...
17:03:38.546 [TestNG-tests-1] INFO  testCases.TC001_AccountRegistrationTest -  Validating Expected Message...
17:03:40.040 [TestNG-tests-3] INFO  testCases.TC001_AccountRegistrationTest -  **** Starting TC001_AccountRegistrationTest****
17:03:40.227 [TestNG-tests-3] INFO  testCases.TC001_AccountRegistrationTest -  Clicked on MyAccount Link
17:03:40.709 [TestNG-tests-3] INFO  testCases.TC001_AccountRegistrationTest -  Clicked on Register Link
17:03:40.711 [TestNG-tests-3] INFO  testCases.TC001_AccountRegistrationTest -  Providing Customer Details...
17:03:42.161 [TestNG-tests-3] INFO  testCases.TC001_AccountRegistrationTest -  Validating Expected Message...
17:04:33.045 [TestNG-tests-1] INFO  testCases.TC001_AccountRegistrationTest -  **** Starting TC001_AccountRegistrationTest****
17:04:33.046 [TestNG-tests-2] INFO  testCases.TC001_AccountRegistrationTest -  **** Starting TC001_AccountRegistrationTest****
17:04:33.212 [TestNG-tests-1] INFO  testCases.TC001_AccountRegistrationTest -  Clicked on MyAccount Link
