14:39:10.231 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection -  Parsing relationship: /xl/_rels/workbook.xml.rels
14:39:10.245 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection -  Parsing relationship: /xl/worksheets/_rels/sheet1.xml.rels
14:39:10.246 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection -  Parsing relationship: /_rels/.rels
14:39:10.278 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection -  Parsing relationship: /xl/_rels/workbook.xml.rels
14:39:10.279 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection -  Parsing relationship: /xl/worksheets/_rels/sheet1.xml.rels
14:39:10.402 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection -  Parsing relationship: /_rels/.rels
14:39:10.430 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection -  Parsing relationship: /xl/_rels/workbook.xml.rels
14:39:10.535 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection -  Parsing relationship: /xl/worksheets/_rels/sheet1.xml.rels
14:39:10.536 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection -  Parsing relationship: /_rels/.rels
14:39:10.566 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection -  Parsing relationship: /xl/_rels/workbook.xml.rels
14:39:10.571 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection -  Parsing relationship: /xl/worksheets/_rels/sheet1.xml.rels
14:39:10.572 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection -  Parsing relationship: /_rels/.rels
14:39:10.832 [main] INFO  testCases.TC003_LoginDDT -  ********Starting TC_003_LoginDDT**********
14:39:16.851 [main] INFO  testCases.TC003_LoginDDT -  ********Finished TC_003_LoginDDT**********
14:39:16.859 [main] INFO  testCases.TC003_LoginDDT -  ********Starting TC_003_LoginDDT**********
14:39:19.880 [main] INFO  testCases.TC003_LoginDDT -  ********Finished TC_003_LoginDDT**********
14:39:19.888 [main] INFO  testCases.TC003_LoginDDT -  ********Starting TC_003_LoginDDT**********
14:39:43.028 [main] INFO  testCases.TC003_LoginDDT -  ********Starting TC_003_LoginDDT**********
15:24:44.093 [main] INFO  testCases.TC001_AccountRegistrationTest -  **** Starting TC001_AccountRegistrationTest****
15:24:44.300 [main] INFO  testCases.TC001_AccountRegistrationTest -  Clicked on MyAccount Link
15:24:44.694 [main] INFO  testCases.TC001_AccountRegistrationTest -  Clicked on Register Link
15:24:44.699 [main] INFO  testCases.TC001_AccountRegistrationTest -  Providing Customer Details...
15:24:47.394 [main] INFO  testCases.TC001_AccountRegistrationTest -  Validating Expected Message...
15:24:47.452 [main] INFO  testCases.TC001_AccountRegistrationTest -  *******TC001_AccountRegistrationTest end*********
15:24:49.461 [main] INFO  testCases.TC002_LoginTest -  *****Starting_TC002_LoginTest*****
15:24:51.354 [main] INFO  testCases.TC002_LoginTest -  *****Finished_TC002_LoginTest*****
17:58:53.147 [main] INFO  testCases.TC001_AccountRegistrationTest -  **** Starting TC001_AccountRegistrationTest****
17:58:53.286 [main] INFO  testCases.TC001_AccountRegistrationTest -  Clicked on MyAccount Link
17:58:53.624 [main] INFO  testCases.TC001_AccountRegistrationTest -  Clicked on Register Link
17:58:53.639 [main] INFO  testCases.TC001_AccountRegistrationTest -  Providing Customer Details...
17:58:56.575 [main] INFO  testCases.TC001_AccountRegistrationTest -  Validating Expected Message...
17:58:56.617 [main] INFO  testCases.TC001_AccountRegistrationTest -  *******TC001_AccountRegistrationTest end*********
17:58:58.552 [main] INFO  testCases.TC002_LoginTest -  *****Starting_TC002_LoginTest*****
17:59:00.265 [main] INFO  testCases.TC002_LoginTest -  *****Finished_TC002_LoginTest*****
18:05:39.321 [main] INFO  testCases.TC001_AccountRegistrationTest -  **** Starting TC001_AccountRegistrationTest****
18:05:39.445 [main] INFO  testCases.TC001_AccountRegistrationTest -  Clicked on MyAccount Link
18:05:39.830 [main] INFO  testCases.TC001_AccountRegistrationTest -  Clicked on Register Link
18:05:39.835 [main] INFO  testCases.TC001_AccountRegistrationTest -  Providing Customer Details...
18:05:42.843 [main] INFO  testCases.TC001_AccountRegistrationTest -  Validating Expected Message...
18:05:42.885 [main] INFO  testCases.TC001_AccountRegistrationTest -  *******TC001_AccountRegistrationTest end*********
18:05:44.733 [main] INFO  testCases.TC002_LoginTest -  *****Starting_TC002_LoginTest*****
18:05:46.800 [main] INFO  testCases.TC002_LoginTest -  *****Finished_TC002_LoginTest*****
18:11:28.521 [main] INFO  testCases.TC001_AccountRegistrationTest -  **** Starting TC001_AccountRegistrationTest****
18:11:28.660 [main] INFO  testCases.TC001_AccountRegistrationTest -  Clicked on MyAccount Link
18:11:29.039 [main] INFO  testCases.TC001_AccountRegistrationTest -  Clicked on Register Link
18:11:29.043 [main] INFO  testCases.TC001_AccountRegistrationTest -  Providing Customer Details...
